"","text"
"48","#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
@ARENAOFICIAL @FMLNoficial @AsambleaSV"
"49","@AsambleaSV #PRESUPUESTO2020YA #PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA #PRESUPUESTO2020YA"
"50","@decisionsv @waraujo64 @AsambleaSV #Presupuesto2020YA"
"51","@Lazmen2U @AsambleaSV @ARENAfraccion @gpfmln @PDC_OFICIAL @PCN_Oficial @GANAOFICIAL @CD_ESA @LeonardoBonia #PRESUPUESTO2020YA 
#PRESUPUESTO2020YA"
"52","#PRESUPUESTO2020YA https://t.co/FVBv2pfAnl"
"53","@romeoauerbach @waraujo64 #PRESUPUESTO2020YA mantengámonos firmes y que los mismos de siempre se den cuenta que el pueblo ya despertó!!!"
"54","#ElSalvador #DiputadosTraidores
#PRESUPUESTO2020YA 
#PRESUPUESTO2020YA 
@waraujo64  @nayibbukele https://t.co/VQKltlxjqH"
"55","Sr. <U+0001F1F8><U+0001F1FB> @waraujo64 gracias por estar junto al pueblo y cada vez más reivindicándose

#PoderPopular #PRESUPUESTO2020YA #ElSalvador"
"56","@LaHuellaSV @cggloba14989810 @AsambleaSV @marioponcesv #PRESUPUESTO2020YA"
"57","@FMLNoficial Alerta #PRESUPUESTO2020YA <U+0001F60E>"
"58","@AsambleaSV #PRESUPUESTO2020YA"
"59","#PresupuestoYA
#PresupuestoYA
#PRESUPUESTO2020YA https://t.co/UMKQwOtQhM"
"60","@waraujo64 @LeonardoBonia @LeonardoBonia @AsambleaSV ¿como te puedes oponer al clamor del pueblo? Sabemos que el presupuesto ha sido bien preparado. Te creíamos más sensato. #PRESUPUESTO2020YA"
"61","@Varela9765 @70_CHALATE @nayibbukele @AsambleaSV #PRESUPUESTO2020YA"
"62","@emilio_coreaES @PortilloCuadra @CiudadanaLupa @ARENAfraccion @ARENAOFICIAL @Kalehm @Tita_Batres @Conocimiente @Guardianidioma @luisportillosv @TecoloteL @ElAtlasSv @OBarreraJ @Soniama37462471 @CorazonInox @rcasteiianos #PRESUPUESTO2020YA"
"63","@chuchocerotes @VioletaBentez2 @AsambleaSV #PRESUPUESTO2020YA"
"64","@Yanci_Urbina @gpfmln Apruébenlo Sra. entiendan que el pueblo lo necesita y es el que ha puesto a NB . #presupuesto2020 , #PRESUPUESTO2020YA"
"65","Aquí desde l
Los Angeles CA apoyando la concentración. Por favor pueblo Salvadoreño hágase presente #PRESUPUESTO2020YA https://t.co/5o7PBitKyz"
"66","@waraujo64 @LeonardoBonia Que nos fijemos todos hasta yo me he fijado la gran excusa que ponen estas ratas diciendo que ""no entienden"" el presupuesto puia vergüenza les debería de dar como claro ellos no tendrán su tajada por eso es #PRESUPUESTO2020YA"
"67","#PRESUPUESTO2020YA 
#PRESUPUESTO2020YA

Se tiene que aprobar ahora!!!!! https://t.co/cpxvP61wOS"
"68","#PRESUPUESTO2020YA 
#PRESUPUESTO2020YA 
#PRESUPUESTO2020YA 

Atiendan a su jefe ( El Pueblo)<U+0001F44A> https://t.co/7tH0LL7yuI"
"69","Casualmente los diputados que más se oponen a aprobar el #Presupuesto2020Ya, son los que llevan más de 10 años en la asamblea.

Su comportamiento altivo y caprichoso los ha condenado, van a perder las elecciones en 2021; es inevitable."
"70","Que está pasando!

<U+0001F914> #PRESUPUESTO2020YA https://t.co/D6Utqw784s"
"71","Si los DIPUTADOS HAN CERRADO LOS PORTONES ! 

No los DEJEN SALIR DE AHÍ NO PERMITAN Q SALGAN ! Hasta q aprueben el presupuesto! 

Ya se acabó esa arrogancia, el PUEBLO MANDA Y TIENEN QUE ENTENDERLO! 

NO LOS DEJAREMOS AVANZAR! 

PRESIONEN, PRESIONEN !!! 

#PRESUPUESTO2020YA"
"72","Esa puerta se tiene que abrir 

Esa casa es del pueblo !! 

#PRESUPUESTO2020YA https://t.co/UCkgBZGKNF"
"73","Somos el pueblo, exigiendo #PRESUPUESTO2020YA https://t.co/Coe732LHbg"
"74","#PRESUPUESTO2020YA https://t.co/FfhX4jAnRY"
"75","#PRESUPUESTO2020YA https://t.co/CEEOGIHHmp"
"76","@FMLNoficial son unos mal  nacidos porque se empeñan de entorpecer el buen trabajo de el gobierno. Porqué mejorar no tratan de ser una oposición de altura pero sin dañar al pueblo.#PRESUPUESTO2020YA https://t.co/vsa6TwdDeD"
"77","Diputados de la @AsambleaSV, aprueben el #PRESUPUESTO2020YA 

¡No hay excusas para NO aprobar! El beneficio no es para el Gobierno, es para el pueblo. https://t.co/IrPC3m3mNH"
"78","La voz del pueblo!
#PRESUPUESTO2020YA https://t.co/EAKo5afL1E"
"79","Clave ‘Tardarse 70 dias’ si habían irregularidades se debió haber enmendado antes. Se les acabó el tiempo. Si en mi trabajo me tardo 70 dias en cumplir mis obligaciones, qué cree q pasaría? #PRESUPUESTO2020YA https://t.co/zETSvyW0br"
"80","@porttada @AsambleaSV Señores sean hombres que juramentaron para el pueblo hagan el trabajo y aprueben #PRESUPUESTO2020YA
La nacion pide resultados positivos"
